"","x"
"486","YBR291C"
"487","YBR292C"
"488","YBR293W"
"489","YBR294W"
"490","YBR295W"
"491","YBR296C"
"492","YBR297W"
"493","YBR298C"
"494","YBR299W"
"495","YCL001W"
"496","YCL001W-A"
"497","YCL001W-B"
"498","YCL002C"
"499","YCL004W"
"500","YCL005W"
"501","YCL005W-A"
"502","YCL008C"
"503","YCL009C"
"504","YCL010C"
"505","YCL011C"
"506","YCL012C"
"507","YCL014W"
"508","YCL016C"
"509","YCL017C"
"510","YCL018W"
"511","YCL021W-A"
"512","YCL024W"
"513","YCL025C"
"514","YCL026C-B"
"515","YCL027W"
"516","YCL028W"
"517","YCL029C"
"518","YCL030C"
"519","YCL031C"
"520","YCL032W"
"521","YCL033C"
"522","YCL034W"
"523","YCL035C"
"524","YCL036W"
"525","YCL037C"
"526","YCL038C"
"527","YCL039W"
"528","YCL040W"
"529","YCL040W"
"530","YCL043C"
"531","YCL043C"
"532","YCL044C"
"533","YCL045C"
"534","YCL047C"
"535","YCL048W"
"536","YCL048W-A"
"537","YCL049C"
"538","YCL050C"
"539","YCL051W"
"540","YCL052C"
"541","YCL054W"
"542","YCL055W"
"543","YCL056C"
"544","YCL057C-A"
"545","YCL057W"
"546","YCL058C"
"547","YCL059C"
"548","YCL061C"
"549","YCL063W"
"550","YCL064C"
"551","YCR001W"
"552","YCR002C"
"553","YCR003W"
"554","YCR004C"
"555","YCR005C"
"556","YCR006C"
"557","YCR007C"
"558","YCR008W"
"559","YCR009C"
"560","YCR010C"
"561","YCR011C"
"562","YCR012W"
"563","YCR013C"
"564","YCR014C"
"565","YCR015C"
"566","YCR016W"
"567","YCR017C"
"568","YCR018C"
"569","YCR018C-A"
"570","YCR019W"
"571","YCR020C"
"572","YCR020C-A"
"573","YCR020W-B"
"574","YCR021C"
"575","YCR022C"
"576","YCR023C"
"577","YCR024C"
"578","YCR024C-A"
"579","YCR024C-B"
"580","YCR025C"
"581","YCR026C"
"582","YCR027C"
"583","YCR028C"
"584","YCR028C-A"
"585","YCR030C"
"586","YCR031C"
"587","YCR032W"
"588","YCR033W"
"589","YCR034W"
"590","YCR035C"
"591","YCR036W"
"592","YCR037C"
"593","YCR038C"
"594","YCR038C"
"595","YCR042C"
"596","YCR043C"
"597","YCR044C"
"598","YCR045C"
"599","YCR046C"
"600","YCR047C"
"601","YCR048W"
"602","YCR051W"
"603","YCR052W"
"604","YCR053W"
"605","YCR054C"
"606","YCR057C"
"607","YCR059C"
"608","YCR060W"
"609","YCR061W"
"610","YCR063W"
"611","YCR065W"
"612","YCR066W"
"613","YCR067C"
"614","YCR068W"
"615","YCR069W"
"616","YCR071C"
"617","YCR072C"
"618","YCR073C"
"619","YCR073W-A"
"620","YCR075C"
"621","YCR075W-A"
"622","YCR076C"
"623","YCR077C"
"624","YCR079W"
"625","YCR081W"
"626","YCR082W"
"627","YCR083W"
"628","YCR084C"
"629","YCR086W"
"630","YCR088W"
"631","YCR089W"
"632","YCR090C"
"633","YCR091W"
"634","YCR092C"
"635","YCR093W"
"636","YCR094W"
"637","YCR095C"
"638","YCR095W-A"
