,x
488,YBR290W
489,YBR291C
490,YBR292C
491,YBR293W
492,YBR294W
493,YBR295W
494,YBR296C
495,YBR297W
496,YBR298C
497,YCL001W
498,YCL001W-A
499,YCL001W-B
500,YCL002C
501,YCL004W
502,YCL005W
503,YCL005W-A
504,YCL008C
505,YCL009C
506,YCL010C
507,YCL011C
508,YCL012C
509,YCL014W
510,YCL016C
511,YCL017C
512,YCL018W
513,YCL019W
514,YCL019W
515,YCL021W-A
516,YCL024W
517,YCL025C
518,YCL026C-A
519,YCL026C-B
520,YCL027W
521,YCL028W
522,YCL029C
523,YCL030C
524,YCL031C
525,YCL032W
526,YCL033C
527,YCL034W
528,YCL035C
529,YCL036W
530,YCL037C
531,YCL038C
532,YCL039W
533,YCL040W
534,YCL040W
535,YCL043C
536,YCL043C
537,YCL044C
538,YCL045C
539,YCL047C
540,YCL048W
541,YCL048W-A
542,YCL049C
543,YCL050C
544,YCL051W
545,YCL052C
546,YCL054W
547,YCL055W
548,YCL056C
549,YCL057C-A
550,YCL057W
551,YCL058C
552,YCL059C
553,YCL061C
554,YCL063W
555,YCL064C
556,YCR001W
557,YCR002C
558,YCR003W
559,YCR004C
560,YCR005C
561,YCR006C
562,YCR007C
563,YCR008W
564,YCR009C
565,YCR010C
566,YCR011C
567,YCR012W
568,YCR013C
569,YCR014C
570,YCR015C
571,YCR016W
572,YCR017C
573,YCR018C
574,YCR018C-A
575,YCR019W
576,YCR020C
577,YCR020C-A
578,YCR020W-B
579,YCR021C
580,YCR023C
581,YCR024C
582,YCR024C-A
583,YCR024C-B
584,YCR025C
585,YCR026C
586,YCR027C
587,YCR028C
588,YCR028C-A
589,YCR030C
590,YCR031C
591,YCR032W
592,YCR033W
593,YCR034W
594,YCR035C
595,YCR036W
596,YCR037C
597,YCR038C
598,YCR038C
599,YCR042C
600,YCR043C
601,YCR044C
602,YCR045C
603,YCR046C
604,YCR047C
605,YCR048W
606,YCR050C
607,YCR051W
608,YCR052W
609,YCR053W
610,YCR054C
611,YCR057C
612,YCR059C
613,YCR060W
614,YCR061W
615,YCR063W
616,YCR065W
617,YCR066W
618,YCR067C
619,YCR068W
620,YCR069W
621,YCR071C
622,YCR072C
623,YCR073C
624,YCR073W-A
625,YCR075C
626,YCR075W-A
627,YCR076C
628,YCR077C
629,YCR079W
630,YCR081W
631,YCR082W
632,YCR083W
633,YCR084C
634,YCR086W
635,YCR088W
636,YCR089W
637,YCR090C
638,YCR091W
639,YCR092C
640,YCR093W
641,YCR094W
642,YCR095C
643,YCR095W-A
644,YCR097W
645,YCR098C
646,YCR100C
647,YCR100C
648,YCR101C
649,YCR102C
650,YCR102W-A
651,YCR104W
652,YCR105W
653,YCR106W
654,YCR107W
655,YDL001W
656,YDL002C
657,YDL003W
658,YDL004W
659,YDL005C
660,YDL006W
661,YDL007W
662,YDL008W
663,YDL009C
664,YDL010W
665,YDL012C
666,YDL013W
667,YDL014W
668,YDL015C
669,YDL016C
670,YDL017W
671,YDL018C
672,YDL019C
673,YDL020C
674,YDL021W
675,YDL022W
676,YDL024C
677,YDL024C
678,YDL025C
679,YDL027C
680,YDL028C
681,YDL029W
682,YDL030W
683,YDL031W
684,YDL033C
685,YDL035C
686,YDL036C
687,YDL037C
688,YDL039C
689,YDL040C
690,YDL042C
691,YDL043C
692,YDL044C
693,YDL045C
694,YDL045W-A
695,YDL046W
696,YDL047W
697,YDL048C
698,YDL049C
699,YDL050C
700,YDL051W
701,YDL052C
702,YDL053C
703,YDL054C
704,YDL055C
705,YDL056W
706,YDL057W
707,YDL058W
708,YDL059C
709,YDL060W
710,YDL061C
711,YDL063C
712,YDL064W
713,YDL065C
714,YDL066W
715,YDL067C
716,YDL069C
717,YDL070W
718,YDL072C
719,YDL073W
720,YDL074C
721,YDL075W
722,YDL076C
723,YDL077C
724,YDL078C
725,YDL079C
726,YDL080C
727,YDL081C
728,YDL082W
729,YDL083C
730,YDL084W
731,YDL085C-A
732,YDL085W
733,YDL086W
734,YDL087C
735,YDL088C
736,YDL089W
737,YDL090C
738,YDL091C
739,YDL092W
740,YDL093W
741,YDL094C
742,YDL095W
743,YDL097C
744,YDL098C
745,YDL099W
746,YDL100C
747,YDL101C
748,YDL102W
749,YDL103C
750,YDL104C
751,YDL105W
752,YDL106C
753,YDL107W
754,YDL108W
755,YDL109C
756,YDL110C
757,YDL111C
758,YDL112W
759,YDL113C
