,x
488,YBR291C
489,YBR292C
490,YBR293W
491,YBR294W
492,YBR295W
493,YBR296C
494,YBR297W
495,YBR298C
496,YBR299W
497,YBR301W
498,YBR302C
499,YCL001W
500,YCL001W-A
501,YCL001W-B
502,YCL002C
503,YCL004W
504,YCL005W
505,YCL005W-A
506,YCL008C
507,YCL009C
508,YCL010C
509,YCL011C
510,YCL012C
511,YCL014W
512,YCL016C
513,YCL017C
514,YCL018W
515,YCL019W
516,YCL019W
517,YCL021W-A
518,YCL024W
519,YCL025C
520,YCL026C-A
521,YCL026C-B
522,YCL027W
523,YCL028W
524,YCL029C
525,YCL030C
526,YCL031C
527,YCL032W
528,YCL033C
529,YCL034W
530,YCL035C
531,YCL036W
532,YCL038C
533,YCL039W
534,YCL040W
535,YCL040W
536,YCL043C
537,YCL043C
538,YCL044C
539,YCL045C
540,YCL047C
541,YCL048W
542,YCL048W-A
543,YCL049C
544,YCL050C
545,YCL051W
546,YCL052C
547,YCL054W
548,YCL055W
549,YCL056C
550,YCL057C-A
551,YCL057W
552,YCL058C
553,YCL059C
554,YCL061C
555,YCL064C
556,YCR001W
557,YCR002C
558,YCR003W
559,YCR004C
560,YCR005C
561,YCR006C
562,YCR007C
563,YCR008W
564,YCR009C
565,YCR010C
566,YCR011C
567,YCR012W
568,YCR013C
569,YCR014C
570,YCR015C
571,YCR016W
572,YCR017C
573,YCR018C
574,YCR018C-A
575,YCR019W
576,YCR020C
577,YCR020C-A
578,YCR020W-B
579,YCR021C
580,YCR023C
581,YCR024C
582,YCR024C-A
583,YCR024C-B
584,YCR025C
585,YCR026C
586,YCR027C
587,YCR028C
588,YCR028C-A
589,YCR030C
590,YCR031C
591,YCR032W
592,YCR033W
593,YCR034W
594,YCR035C
595,YCR036W
596,YCR037C
597,YCR038C
598,YCR038C
599,YCR042C
600,YCR043C
601,YCR044C
602,YCR045C
603,YCR046C
604,YCR047C
605,YCR048W
606,YCR051W
607,YCR052W
608,YCR053W
609,YCR054C
610,YCR057C
611,YCR059C
612,YCR060W
613,YCR061W
614,YCR063W
615,YCR065W
616,YCR066W
617,YCR067C
618,YCR068W
619,YCR069W
620,YCR071C
621,YCR072C
622,YCR073C
623,YCR073W-A
624,YCR075C
625,YCR075W-A
626,YCR076C
627,YCR077C
628,YCR079W
629,YCR081W
630,YCR082W
631,YCR083W
632,YCR084C
633,YCR086W
634,YCR088W
635,YCR089W
636,YCR090C
637,YCR091W
638,YCR092C
639,YCR093W
640,YCR094W
641,YCR095C
642,YCR095W-A
643,YCR097W
644,YCR098C
645,YCR100C
646,YCR100C
647,YCR102C
648,YCR105W
649,YCR106W
650,YCR107W
651,YDL001W
652,YDL002C
653,YDL003W
654,YDL004W
655,YDL005C
656,YDL006W
657,YDL007W
658,YDL008W
659,YDL009C
660,YDL010W
661,YDL012C
662,YDL013W
663,YDL014W
664,YDL015C
665,YDL016C
666,YDL017W
667,YDL018C
668,YDL019C
669,YDL020C
670,YDL021W
671,YDL022W
672,YDL024C
673,YDL024C
674,YDL025C
675,YDL027C
676,YDL028C
677,YDL029W
678,YDL030W
679,YDL031W
680,YDL033C
681,YDL035C
682,YDL036C
683,YDL037C
684,YDL039C
685,YDL040C
686,YDL042C
687,YDL043C
688,YDL044C
689,YDL045C
690,YDL045W-A
691,YDL046W
692,YDL047W
693,YDL048C
694,YDL049C
695,YDL051W
696,YDL052C
697,YDL053C
698,YDL054C
699,YDL055C
700,YDL056W
701,YDL057W
702,YDL058W
703,YDL059C
704,YDL060W
705,YDL061C
706,YDL063C
707,YDL064W
708,YDL065C
709,YDL066W
