"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL018C",2.72426062640698,-1.9766415444603,1.44791187593178,-1.36516702246693,0.172247727078488,0.367058065770153
"YAL019W",528.974895568924,-1.14466487448194,0.178829764826785,-6.40086327681898,1.6525479938367e-10,1.73153418608449e-08
"YAL020C",167.198219479609,-1.06860719206249,0.400952337429285,-2.66517262104991,0.00771386658399576,0.0420892526233555
"YAL021C",1300.52494170333,-1.09978320098809,0.201766342781867,-5.45077630800436,5.19906847840343e-08,2.39855532339477e-06
"YAL022C",304.344944322681,-0.808650497079219,0.290195867129608,-2.78656793109344,0.00534236964873415,0.0321895995794099
"YAL023C",1503.82258562525,-1.7836267253599,0.275791453257565,-6.4673023920511,1.07007715869869e-10,1.18128874912059e-08
"YAL024C",224.11926052391,-2.13918374907915,0.279424586420531,-7.65567474388135,2.20216467994451e-14,7.1651484481142e-12
"YAL025C",495.440663582546,-1.14616895471376,0.393790904579464,-2.91060291485852,0.00361955145767159,0.0236034463199639
"YAL026C",418.888665908676,-1.17913558356549,0.20591648677863,-5.72628060050925,1.0723408908573e-08,5.91893873864271e-07
"YAL027W",238.559496351718,-0.863563048051999,0.299027353502369,-2.8879065340929,0.00389093039819842,0.0248216743050254
"YAL028W",205.742830589263,-0.410321678370266,0.386381597367509,-1.06195968225678,0.288293376091983,0.509984807142531
"YAL029C",577.93700209943,-1.39220861736732,0.23616290876978,-5.89511970622147,3.93149501710129e-09,2.55836865218107e-07
"YAL030W",794.599281501447,-0.648456937460762,0.211741819793575,-3.06248873317957,0.00220400827681783,0.016010786330538
"YAL031C",357.287225535549,-0.866296910724048,0.174920657538115,-4.95251345905375,7.51075171995255e-07,2.34502359256296e-05
"YAL031W-A",8.19038320372553,-0.982667162635688,0.800443330072197,-1.2276536335771,0.219621400042417,0.429542571828875
"YAL032C",405.735193005402,-0.905421757794933,0.257144892589191,-3.52105674228349,0.000432773233410782,0.0043859084081073
"YAL033W",146.266937242796,-0.236032363700297,0.323702535325528,-0.729164396142073,0.465927334930838,0.670007626085704
"YAL034C",1796.70106980057,0.126763559322873,0.286719830135261,0.442116470503876,0.658419610649742,0.803622908793032
"YAL034C-B",11.5048241908877,-0.475690742056476,0.690554408120721,-0.68885338571804,0.490940080796682,0.690712694466338
"YAL034W-A",207.743707857199,-1.39250116511224,0.181888046895279,-7.65581460069206,2.19979051829589e-14,7.1651484481142e-12
"YAL035W",1543.91489235618,-1.23535800565473,0.233544390869531,-5.28960683258225,1.26576718231365e-07,5.14800836912038e-06
"YAL036C",361.13566964592,-1.15303534389924,0.229298752196542,-5.02852864594277,5.07477752066347e-07,1.68912503205051e-05
"YAL037C-A",3.53735661329941,-2.39404555973227,1.08086917891736,-2.21492628935006,0.0267996108606673,0.103871595197897
"YAL037C-B",12.9003598559935,0.531146955675156,1.16272500582946,0.456812189479186,0.647821282606352,0.795398444701582
"YAL037W",88.0647089968436,-1.68164037897919,0.342145672908607,-4.91498362286286,9.09624890609118e-07,2.74307369451003e-05
"YAL038W",1503.41122749712,-0.808100052633814,0.754122517207761,-1.07157661281076,0.283949960138938,0.506018637526352
"YAL039C",1392.64925190379,-1.06205122769889,0.35714046323038,-2.97376337055875,0.00295250295112754,0.0199697737897926
"YAL040C",1059.1225917004,-0.735304842880516,0.478130550368633,-1.53787462924845,0.124127864086582,0.297195374044637
"YAL041W",468.469240936869,-0.992378727407705,0.131128035008494,-7.56801341027815,4.31400888010512e-14,1.33346014484049e-11
"YAL042W",1270.07244007513,-1.59751744185625,0.303975182281641,-5.25542062304318,1.52381387309754e-07,6.07461305423024e-06
"YAL043C",573.118860008559,-1.1783832954456,0.191978812093189,-6.13809035797969,8.84313014461884e-10,7.1931882307939e-08
"YAL044C",2352.96779431644,-1.51581568215002,0.508235731620422,-2.98250514051245,0.00286959272186692,0.0194943101171223
"YAL044W-A",174.153442569178,-1.12885412269026,0.271894061616003,-4.15181602709863,3.34058089293047e-05,0.000602083704959072
"YAL045C",1.10095229848053,-1.57298283551949,1.63091449842538,-0.964479031266312,0.334841635868728,0.551850438000661
"YAL046C",518.866882823429,-1.01400139451643,0.276190181675161,-3.67138827443564,0.000243168535899294,0.00279938154363024
"YAL047C",246.272691505735,-0.811887923583412,0.164558916173941,-4.93372186971159,8.26808677268112e-07,2.54295086710023e-05
"YAL048C",320.512451377327,-0.851887121909228,0.20157356504694,-4.22618472670685,2.40934205871832e-05,0.000454102213627947
"YAL049C",2863.88416584154,-1.20551730729346,0.189116800622339,-6.37445908204024,1.96178640331533e-10,1.92504183258656e-08
"YAL051W",631.088648236979,-0.526606672834944,0.212985640489257,-2.47249848217588,0.0134425862631006,0.0639246679065292
"YAL053W",1775.9889149887,-0.288359872628826,0.284447849307738,-1.01375304236122,0.310738276456402,0.532130447348377
"YAL054C",22534.4973260648,-2.17753396898407,0.954768530127022,-2.28069306881572,0.0225987808540143,0.0919721285316106
"YAL055W",176.574337752961,0.0586482804686314,0.314333033179503,0.186580073609826,0.851995704211466,0.927032776049656
"YAL056C-A",2.93038936175859,-0.879728482097092,1.03933548752811,-0.846433603637824,0.397342006630692,0.612255305331739
"YAL056W",1583.50775477132,-0.46692898956037,0.130970960529246,-3.56513373402422,0.000366279118853025,0.00385091413732891
"YAL058W",172.283109653177,-0.620508252378272,0.19059594215312,-3.25562152776458,0.00113723070861886,0.00943672515527754
"YAL059W",57.2412778057495,-0.324669385925422,0.309686039846514,-1.04838237489276,0.294501384245468,0.51588877443677
"YAL060W",4218.33613859057,-1.5001101194994,0.288647581042774,-5.19702993553619,2.08659122854735e-07,7.9136852606624e-06
"YAL061W",2652.70529985025,-1.37981926667956,0.410171648088564,-3.36400449204532,0.000772638909097338,0.00687259530365431
"YAL062W",9081.10585387735,-1.25503710503554,0.938581513174986,-1.33716367456468,0.181215928802177,0.379064527908816
"YAL063C",91.510541481579,-1.77763605965812,0.291919724734362,-6.0894688129612,1.19739727699395e-09,9.37001261566655e-08
"YAL063C-A",4.1190591761755,0.249247450684006,0.837398938178639,0.297644813386227,0.765983763913408,0.875450476707836
"YAL064C-A",2.60029231595677,1.26302715506421,1.17140415931065,1.07821638247169,0.280977145772298,0.502580068341958
"YAL064W",0.452390703232781,-0.911080000347958,3.54507134907249,-0.256999058872631,0.797187620222492,0.895062453362777
"YAL064W-B",5.12760863982404,-0.986017266427556,0.779467392089932,-1.2649884734547,0.205920731787355,0.41057145887495
"YAL065C",24.562122691989,-0.058944778958578,0.412207192923054,-0.142997938829227,0.886296233950204,0.945876951914014
"YAL066W",4.48669075778854,0.886732444952285,0.786913926071086,1.12684807775556,0.25984824658397,0.478659672342701
"YAL067C",198.348855688468,0.0408639938865418,0.387053223375093,0.105577195637874,0.915921071132618,0.959228300696463
"YAL067W-A",5.42532055327874,-0.740961039109311,1.23382912989663,-0.600537806374685,0.548168774964749,0.733371472292333
"YAL068C",10.4205594983256,0.571617784871471,0.761609006254757,0.750539686606944,0.452956852544651,0.657010619997896
"YAR002C-A",1510.69572182407,-1.27228423620628,0.320165842518464,-3.97382877010969,7.14904954132874e-05,0.00111043779559031
"YAR002W",561.788799832302,-1.12044482598988,0.127560321894404,-8.78364690014975,1.99706243181559e-18,2.05763999224733e-15
"YAR003W",426.367672668115,-0.999232069863448,0.135719957881128,-7.36245490687995,2.028290044638e-13,4.82264963690466e-11
"YAR007C",1241.40394047749,-1.50385661506857,0.303307047068051,-4.95819872833734,7.29511160894468e-07,2.28925786631959e-05
"YAR008W",343.398076539495,-1.2839869136111,0.343801599398661,-3.73467405578365,0.00018956386337347,0.00232516627653728
"YAR014C",858.649523589037,-1.26213124409869,0.137632521161627,-9.17029807669167,6.21397814634502e-20,1.28049376335683e-16
"YAR015W",1539.35046928065,-2.13812623722206,0.359910165881336,-5.94072199096205,2.98415307048017e-09,1.9836596001837e-07
"YAR018C",282.455440360838,-2.53098101723338,0.214096191767569,-11.8217003130122,6.38275673951817e-32,1.97291010818507e-28
"YAR019C",385.205180925694,-0.828992598287508,0.231207988605967,-3.58548423558282,0.000338918582578367,0.00362490428633125
"YAR019W-A",0.632567231262794,-0.439539597739443,2.32973445212152,-0.188665106162287,0.850361181617898,0.926821725099055
