"","chr","tracking_id","ratio","l2All[, 3]","l3All[, 3]","l4All[, 3]","l5All[, 3]","l7All[, 3]","l8All[, 3]","l9All[, 3]","l11All[, 3]","l18All[, 3]","l21All[, 3]","l31All[, 3]","l49All[, 3]","l59All[, 3]","l61All[, 3]","l66All[, 3]","l69All[, 3]","l76All[, 3]","l77All[, 3]"
"YAL038W",1,"YAL038W",-1.58245874593346,0.054395203918774,0.430628978162473,-0.0931783795687899,0.133095452396299,-0.0130574956549299,-0.749756050512605,0.173961956067214,-0.0304531372559334,0.202217295569624,0.13320947017824,0.222425878196007,-0.112477572216088,-0.895887374361694,0.207392871432803,-0.118893762568127,-0.711578612652202,0.071731649356658,-0.186404815445607
"YAL023C",1,"YAL023C",-0.73328956368447,0.0250796733015885,0.263002133399388,-0.138077845692543,0.325705816444514,-0.0905214648948165,-0.481147462188685,0.182711436303307,-0.0523653714945905,0.392714576042232,0.0585793213876488,0.13744420476662,0.45727910110493,-0.662586388311755,0.205018010952662,-0.0669656696165747,-0.289338051262015,0.101545286965962,-0.211135004311312
"YAL036C",1,"YAL036C",-1.97482306060264,0.0214129509227414,0.525595620327096,-0.0845256344642575,0.260236247930735,-0.0673759338354927,-0.429984190332707,0.202427233351088,-0.0290928980022939,0.0926201219107174,0.100313185449175,0.224241010720682,-0.0338322814625871,-0.386386138920533,0.144746660733959,-0.0598182865906625,-0.479548651310527,0.102715428535775,-0.132707454364334
"YAL044C",1,"YAL044C",-2.04658771045349,0.00692921063103379,0.209634514888166,-0.0602933975308077,0.345430783619794,-0.00482976123868013,-0.269965576459037,0.125546113845305,-0.0546443317001588,0.261223814231802,0.493608389381536,0.0787455370212948,-0.109357117500663,-0.84049123107735,0.252615224865667,-0.0614878677520363,-0.420633391312949,0.192185144348022,-0.0861939603855306
"YAR033W",1,"YAR033W",-0.706924738790596,-0.00502442414176755,0.474970254026024,-0.140288313634963,0.152699164443418,-0.0907155263518743,-0.508755400813779,0.255346220652973,-0.0588581970189758,0.202568448033921,0.161378388903742,0.106691325996814,-0.1362216246985,-0.468554933923048,0.121964099824541,-0.0273282947465201,-0.0788617951694765,0.201814476083505,-0.0696470534084801
"YAL031W-A",1,"YAL031W-A",-2.66779969301407,-0.00932851960460952,0.331418686157691,-0.149618510657115,0.182199918087841,-0.110544530949603,-0.00948911790227999,0.0827035102571976,-0.0237941378070941,0.379979247840338,0.144141884460139,0.0850523860847909,-0.084922830643433,-0.596329272139282,0.314573826710103,0.467060050147447,-0.361144035124961,0.256918248909629,-0.154243889963981
"YAL037W",1,"YAL037W",-0.289444593427633,0.0412952584137808,0.359449025566882,-0.0673109705413926,0.116492907757315,0.496610082694831,0.140260441140825,0.229843053885065,-0.0991711918799421,0.0926485996151197,0.219610305622825,0.117772097582606,-0.157626133627041,-0.490976603178574,0.222554550812272,-0.073191758494106,-0.347301373040394,0.25585799903571,-0.088604346533482
"YAL025C",1,"YAL025C",-1.80434719204826,-0.00714370507098492,0.167072893904537,-0.192912804565567,0.224851790735458,-0.0850410891378217,-0.00695232765639631,0.170348933842664,-0.033926348058994,0.143974142960705,0.208425766395504,0.0673711431101661,-0.0444869005942423,-0.343679447572597,0.249216590481385,-0.0183190559427914,-0.189985112667065,0.173419561619588,-0.122515487990631
"YAL016W",1,"YAL016W",-1.02164474572539,0.036183709361054,0.230603415724031,-0.164599516389033,0.10150218158277,-0.0323067778424551,-0.313244887899415,0.173084336456315,-0.0260440831218305,0.0886459932132454,0.148832793618144,0.0750450436648885,-0.0884038732597881,-0.643643485805995,0.132900138604683,-0.0355121882824999,-0.424410722535257,0.328833627980768,-0.0638423886739892
"YAL007C",1,"YAL007C",-2.44423579671109,0.0463035369469447,0.140245668231753,-0.132641587336602,0.11026543195993,-0.0356721187734707,-0.391116416922985,0.108411558379603,0.0184892667866229,0.207615643532603,0.303780031604835,0.0598586230091798,-0.0654758190833797,-0.755505892328688,0.119236093152455,-0.0181205843093697,-0.266747638216468,0.114290322496464,-0.0525843688724738
"YAL034W-A",1,"YAL034W-A",-0.697155196802192,0.0722695872764716,0.244067428861888,-0.2171748469523,0.102358513699392,-0.082815011958558,-0.484839377342929,0.115655453934545,-0.0409290830090363,0.0982561272427398,0.142310266588852,0.0695143859816178,-0.147501597669738,-0.550057372982746,0.0911297748398931,-0.0687848227755424,-0.323419380706791,0.335743363937119,-0.151650192537136
