"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR399W",1152.26414956304,-0.932296571100067,0.441487834164588,0,0.999563859066448,1
"YDR400W",356.359039951631,-0.710660296820572,0.264583902786954,0,0.999998792196646,1
"YDR402C",12.8366746413616,-1.00107335727564,0.557382441707732,0,0.997112921678303,1
"YDR403W",39.7604786303864,-0.523433190024667,0.309789431847615,0,0.999692182461236,1
"YDR404C",513.9755272627,0.244973787648914,0.159444534623732,0,0.966930850609734,1
"YDR405W",1478.30877972502,-0.122697027830252,0.281455958096216,0,0.990533293920205,1
"YDR406W",2954.97609481076,0.0887402558535173,0.311907206118943,0,0.925093661847713,1
"YDR407C",412.066111712486,-0.348592767693349,0.244161795195415,0,0.99985784592258,1
"YDR408C",1197.97123600091,-0.178259261569239,0.273465707263184,0,0.995582869461133,1
"YDR409W",359.084129081824,-0.278342315535877,0.212068203542782,0,0.999940237340453,1
"YDR410C",69.7130350587312,0.61999611228148,0.288841130515513,0.283879626613899,0.388255828279979,1
"YDR411C",855.510568911812,-0.147491598967241,0.16193113668967,0,0.999988323651886,1
"YDR412W",13.665227232011,-0.162800922462792,0.555595934288324,0,0.8963860152187,1
"YDR413C",2.15179295730114,1.3216131744288,0.973003302566432,0.805355102456392,0.210322100757936,1
"YDR414C",147.095583061066,0.459912789299692,0.250464018763439,0,0.622387412396983,1
"YDR415C",273.290944576817,0.373271291290815,0.181164791552278,0,0.818380815360124,1
"YDR416W",281.028418881433,0.391873257372717,0.164222355132284,0,0.813199684243268,1
"YDR417C",1.92138194110549,-0.601296927570057,0.953247270742128,0,0.883968825175149,1
"YDR418W",1042.79365609825,0.0485014878810445,0.370134727438844,0,0.906973822922542,1
"YDR419W",333.158655190847,0.448388401696893,0.241439797949797,0,0.644732933777563,1
"YDR420W",542.135866655281,0.119593545078334,0.213872100282655,0,0.974766072908039,1
"YDR421W",722.841335573174,0.0741272923019047,0.139892975751708,0,0.999540776036538,1
"YDR422C",673.746889163634,0.251167612008625,0.175010791757708,0,0.949363084453168,1
"YDR423C",208.368957884151,-0.215908000040349,0.232588449478567,0,0.999402248939825,1
"YDR424C",535.345189647126,0.0441545012139025,0.357989784167267,0,0.916105383141067,1
"YDR425W",429.500986606434,0.159574708385909,0.205869908957135,0,0.966959057886625,1
"YDR426C",1.05194596492693,-1.51466262560852,1.71544041706507,0,0.884243171747675,1
"YDR427W",1618.81163114528,0.101309441718664,0.180955211203822,0,0.992080842456811,1
"YDR428C",210.63648286576,0.225982541186777,0.162605364665925,0,0.972477343613007,1
"YDR429C",1244.01224412474,0.018426893316558,0.208795201485589,0,0.993572247344269,1
"YDR430C",563.766853141396,0.379236742641487,0.343161912064015,0,0.678184010085886,1
