"","chr","tracking_id","X112_2","X112_0","X112_1","X115_0","X115_1","X115_2","X117_0","X117_1","X117_2","X123_1","X123_0","X123_2","X141_1","X141_0","X141_2","X152_1","X152_0","X152_2","X29_1","X29_0","X29_2","X50_1","X50_0","X50_2"
"3836",10," YJR147W",29.1578,42.5143,25.6072,28.2053,40.5344,41.9212,28.8013,40.8403,40.2446,26.3487,32.1127,40.1234,26.2352,38.3502,44.5531,28.9805,26.0797,41.0211,57.6448,94.2177,56.28,63.0239,41.3138,33.7893
"3837",10," YJR148W",226.6,455.656,142.883,244.021,309.786,340.987,260.474,292.91,215.272,200.248,232.368,328.594,201.668,947.807,296.775,307.367,266.508,533.192,381.364,435.539,878.885,361.753,144.594,407.42
"3838",10," YJR149W",69.4813,25.533,168.852,193.444,135.415,65.0732,260.578,141.863,70.1885,192.857,206.375,74.8031,58.1574,185.723,30.5807,72.0288,67.2228,25.1874,126.756,97.3338,27.4034,252.389,204.633,77.0237
"3840",10," YJR151C",19.8207,17.4674,17.5265,22.0403,24.8203,21.7821,16.0268,27.9668,24.3562,12.8977,21.0157,21.5023,21.5872,14.0925,12.8858,31.3211,18.7499,12.8457,19.1836,24.3677,24.8387,15.7149,19.9284,20.5676
"3842",10," YJR152W",22.5874,18.811,26.7232,37.8866,37.4929,22.0779,66.5876,39.2221,23.754,50.607,34.1318,28.2646,21.965,51.1824,16.8614,23.8848,25.2469,18.0212,37.0246,22.3312,26.1231,40.522,28.4679,27.2217
"3843",10," YJR153W",22.5608,13.7954,41.8675,21.2081,38.3302,26.2194,26.9403,44.1596,22.2342,25.2912,21.4927,24.3351,22.2324,9.08796,13.77,24.4254,28.9941,13.0264,22.2275,13.7797,19.8123,15.3063,14.0169,23.8607
"3844",10," YJR154W",86.1691,15.5575,26.3846,22.687,27.656,77.5478,21.8848,25.3058,74.3381,29.1367,19.5266,44.9038,83.9994,18.1883,32.6704,55.2468,84.5142,38.5568,34.6166,18.1028,58.6916,15.7063,16.385,84.3326
"3845",10," YJR155W",292.911,53.4596,623.397,237.773,526.529,259.98,159.391,698.396,224.765,135.05,238.178,175.919,323.089,102.717,91.942,179.61,268.586,93.4947,116.755,94.3376,239.933,130.848,150.8,322.035
"3851",10," YJR161C",41.9985,25.231,43.0528,50.3426,35.2293,26.5789,65.5081,35.2189,38.5893,56.6166,58.3273,43.1606,50.4878,60.9013,22.8917,21.4574,30.4034,18.6118,30.8119,83.9622,33.1042,45.9317,52.809,39.0557
"3853",10," snR128",9861.84,367.88,169.245,131.849,47.5597,12725.1,416.035,1593.09,2177.74,131.181,347.805,2760.04,270.264,188.062,438.185,0.5,139.41,213.156,65.1455,174.707,61.0822,146.59,1390.51,156.383
"3854",10," snR190",15922.6,345.312,414.126,129.284,291.542,39323,1214.21,1872.88,4426.33,350.391,279.903,3234.01,31.0188,307.673,363.617,8.0749,50.7882,170.052,63.8831,254.517,55.33,44.5729,3084.7,59.2841
"3855",10," snR3",1988.57,147.913,6.35953,73.4758,65.8642,1605.11,94.9448,33.0302,245.308,41.34,134.498,161.593,150.377,56.3251,144.883,91.1754,178.005,97.5505,27.4371,65.0244,118.305,46.1555,311.899,38.3902
"3856",10," snR37",2497.3,46.5714,102.941,17.3463,65.6852,2514.35,136.805,122.254,430.445,82.0681,55.2723,310.998,27.0257,98.3273,23.8898,9.08756,10.952,39.9828,20.3987,53.1301,19.148,22.9842,303.378,15.8278
"3857",10," snR60",2052.78,0.5,417.868,0.5,155.694,6074.13,0.5,1699.7,684.32,215.98,0.5,659.951,0.5,199.318,180.925,83.3038,0.5,0.5,213.688,0.5,200.289,0.5,591.982,129.018
"3882",11," YKL001C",1395.38,214.282,446.86,714.324,344.831,975.211,672.009,300.567,1122.27,651.179,580.441,1140.05,1126.14,163.963,300.319,1049.45,1022.58,238.463,611.873,4224.22,1180.42,615.63,1477.55,695.023
"3883",11," YKL002W",251.506,245.15,515.853,393.503,351.673,220.841,492.879,465.588,222.514,320.025,374.808,239.204,330.715,289.671,242.951,207.322,257.58,182.199,255.324,319.737,248.319,289.566,391.795,244.211
"3884",11," YKL003C",226.125,196.199,364.004,325.995,201.723,232.81,425.73,200.788,188.574,316.402,354.261,205.191,188.379,322.84,176.839,190.418,234.037,173.207,290.53,186.723,278.188,331.171,407.195,263.077
"3885",11," YKL004W",68.4985,120.946,64.7964,77.0727,43.104,85.7298,61.2986,37.3376,81.7203,62.5419,85.4279,88.8833,56.4162,66.6163,93.057,70.7607,55.0373,85.1389,73.9022,119.979,81.5689,132.424,94.3982,81.2777
"3886",11," YKL005C",43.158,34.828,108.559,62.3802,73.8416,46.8955,73.4354,79.4637,40.595,44.3582,53.942,40.5354,49.0202,63.1382,31.9469,34.1104,36.0276,39.3492,64.2783,76.5506,49.6945,70.0291,67.6996,45.2996
"3887",11," YKL006C-A",318.044,286.394,686.602,399.657,634.338,308.693,494.032,612.466,309.458,529.635,530.649,307.538,309.339,315.829,260.253,298.103,429.883,288.968,478.295,307.482,422.765,461.669,412.681,307.56
"3888",11," YKL006W",551.612,3656.53,152.35,240.245,309.107,878.87,221.251,225.76,446.966,209.983,305.298,482.489,530.234,453.84,3577.14,367.87,1046.66,2709.47,233.662,89.354,705.902,121.85,212.865,751.85
"3889",11," YKL007W",289.146,325.636,292.374,247.041,288.799,270.11,239.216,270.089,267.518,274.663,225.931,265.215,355.763,182.242,367.631,352.021,219.67,338.463,219.862,184.861,280.548,175.637,213.696,239.046
"3890",11," YKL008C",72.1326,112.839,89.5628,103.631,104.082,66.5331,111.363,88.3867,74.7636,113.717,100.658,84.4689,80.0997,82.749,124.888,90.1346,92.91,106.307,100.609,246.024,59.0035,148.567,144.185,73.6198
"3891",11," YKL009W",161.815,326.98,50.269,67.8472,53.4559,257.786,39.8093,29.6888,144.453,114.151,66.5704,160.918,149.018,60.2361,259.008,214.689,221.189,284.829,99.6444,89.7338,380.948,45.5757,51.2282,162.946
"3892",11," YKL010C",33.7071,27.8801,40.1637,35.0682,44.7793,28.3759,29.2763,42.1568,33.5252,34.2836,38.7176,33.8601,38.2936,44.2746,26.2195,40.9131,28.7509,24.295,45.2278,63.211,40.4411,55.7242,42.0151,33.4819
