sample_id	file	total_mass	internal_scale	external_scale
X4_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_4B_S9_R1_001_trimmed_tophat_out/accepted_hits.bam	9.21944e+06	1.17679	1
X4_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_4C_S6_R1_001_trimmed_tophat_out/accepted_hits.bam	9.99475e+06	1.52682	1
X50_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_MA_50_S7_R1_001_trimmed_tophat_out/accepted_hits.bam	7.55557e+06	1.09199	1
X50_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_50B_S21_R1_001_trimmed_tophat_out/accepted_hits.bam	7.56171e+06	1.33786	1
X50_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_50C_S18_R1_001_trimmed_tophat_out/accepted_hits.bam	7.77474e+06	1.27216	1
X59_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_GC_59_S10_R1_001_trimmed_tophat_out/accepted_hits.bam	8.31908e+06	1.13731	1
X59_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_59B_S22_R1_001_trimmed_tophat_out/accepted_hits.bam	7.46149e+06	1.00415	1
X59_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_59C_S19_R1_001_trimmed_tophat_out/accepted_hits.bam	6.79166e+06	1.08775	1
X5_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_5A_S3_R1_001_trimmed_tophat_out/accepted_hits.bam	8.70774e+06	1.37128	1
X5_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_5B_S10_R1_001_trimmed_tophat_out/accepted_hits.bam	8.41928e+06	1.26147	1
X5_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_5C_redo_S16_R1_001_trimmed_tophat_out/accepted_hits.bam	7.22192e+06	1.22953	1
X61_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly-GC-61-redo_S11_R1_001_trimmed_tophat_out/accepted_hits.bam	5.80027e+06	0.786646	1
X61_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_61B_S23_R1_001_trimmed_tophat_out/accepted_hits.bam	1.19583e+07	1.65137	1
X61_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_61C_S20_R1_001_trimmed_tophat_out/accepted_hits.bam	6.98032e+06	0.933934	1
X69_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_GC_69_S1_R1_001_tophat_out/accepted_hits.bam	8.65283e+06	1.24189	1
X69_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_69B_S25_R1_001_trimmed_tophat_out/accepted_hits.bam	9.3276e+06	1.35824	1
X69_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_69C_S22_R1_001_trimmed_tophat_out/accepted_hits.bam	8.46168e+06	1.34943	1
X76_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_GC_76_S2_R1_001_trimmed_tophat_out/accepted_hits.bam	9.60584e+06	1.26209	1
X76_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_76B_S26_R1_001_trimmed_tophat_out/accepted_hits.bam	8.5089e+06	1.10525	1
X76_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_76C_redo_S18_R1_001_trimmed_tophat_out/accepted_hits.bam	7.65192e+06	1.07872	1
X77_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_GC_77_S3_R1_001_trimmed_tophat_out/accepted_hits.bam	9.92526e+06	1.61743	1
X77_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_77B_S27_R1_001_trimmed_tophat_out/accepted_hits.bam	8.4016e+06	1.20964	1
X77_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_77C_S24_R1_001_trimmed_tophat_out/accepted_hits.bam	1.10997e+07	1.83044	1
X7_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly-GC-7-redo_S4_R1_001_trimmed_tophat_out/accepted_hits.bam	5.55729e+06	0.835662	1
X7_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_7B_S12_R1_001_trimmed_tophat_out/accepted_hits.bam	8.8504e+06	1.11235	1
X7_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_7C_S9_R1_001_trimmed_tophat_out/accepted_hits.bam	6.73864e+06	1.01417	1
X8_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly-GC-8-redo_S5_R1_001_trimmed_tophat_out/accepted_hits.bam	5.0405e+06	0.931402	1
X8_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_8B_S13_R1_001_trimmed_tophat_out/accepted_hits.bam	7.79065e+06	1.11712	1
X8_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_8C_S10_R1_001_trimmed_tophat_out/accepted_hits.bam	7.88338e+06	1.25552	1
X9_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_9A_S5_R1_001_trimmed_tophat_out/accepted_hits.bam	1.02075e+07	1.59227	1
X9_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_9B_S14_R1_001_trimmed_tophat_out/accepted_hits.bam	9.57847e+06	1.66828	1
X9_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_9C_S11_R1_001_trimmed_tophat_out/accepted_hits.bam	8.66527e+06	1.46769	1
GC_Anc_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_GC_Anc_B_S2_R1_001_trimmed_tophat_out/accepted_hits.bam	9.79317e+06	1.43908	1
GC_Anc_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_GC_Anc_C_S32_R1_001_trimmed_tophat_out/accepted_hits.bam	7.31603e+06	1.02186	1
GC_Anc_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_GC_Anc_S4_R1_001_trimmed_tophat_out/accepted_hits.bam	1.08028e+07	1.6607	1
MA_Anc_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_MA_Anc_B_S1_R1_001_trimmed_tophat_out/accepted_hits.bam	7.40058e+06	1.1517	1
MA_Anc_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly-MA-Anc-C-redo_S19_R1_001_trimmed_tophat_out/accepted_hits.bam	6.60954e+06	0.916557	1
MA_Anc_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_MA_Anc_S5_R1_001_trimmed_tophat_out/accepted_hits.bam	8.94355e+06	1.39411	1
