"","GENEID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPL098C","YPL098C",344.694361532135,-0.604776693554396,0.238014576437171,-2.54092292416401,0.011056028923223,0.136677586418808
"YPL099C","YPL099C",360.925937468413,-0.0566630045376494,0.160301234688649,-0.353478278864821,0.723729910062989,0.901738197059136
"YPL100W","YPL100W",477.532603530406,0.0226064617791838,0.18043954676503,0.125285516309915,0.900297518144958,0.967177285148017
"YPL101W","YPL101W",228.999002583923,0.116059198340887,0.175001729535338,0.663188864756055,0.507209602205054,0.792762947045928
"YPL103C","YPL103C",121.261829162776,0.311058408618364,0.264932134414781,1.17410600003459,0.240352570492107,0.590034507303936
"YPL104W","YPL104W",213.808951319606,0.163100521932536,0.181830579915407,0.896991705181908,0.369723343213527,0.701323221509153
"YPL105C","YPL105C",471.412501308071,-0.39100179562045,0.193166784521912,-2.0241668182663,0.0429529904472912,0.267382803496521
"YPL106C","YPL106C",6951.5042538842,0.131036220996502,0.26941257023881,0.48637753197763,0.626699517547201,0.856450276330987
"YPL107W","YPL107W",575.132214568501,-0.0334720198975106,0.186167849070503,-0.179794846772036,0.85731362937253,0.951208179593365
"YPL108W","YPL108W",65.7993190110085,0.693736458009075,0.302622083661926,2.29241848319332,0.0218815064707507,0.190510448173276
"YPL109C","YPL109C",331.764860119191,-0.442441767602375,0.165895885949759,-2.66698456727472,0.0076535186238275,0.113455067070008
"YPL110C","YPL110C",363.373277690378,0.0239866651042818,0.267038969111122,0.0898245869661827,0.928426609591629,0.976678730712592
"YPL111W","YPL111W",529.460727963705,0.544326629024827,0.435671111723552,1.24939803071042,0.211519528354032,0.555688682405506
"YPL112C","YPL112C",472.173987141154,0.454780861239934,0.168763757071726,2.69477800880345,0.00704355404488633,0.10839898498001
"YPL113C","YPL113C",85.6658707977144,0.563499032062644,0.218678349851799,2.57683960229503,0.00997082066845635,0.13292169603632
"YPL115C","YPL115C",269.96468421012,-0.447192272150979,0.216215143026643,-2.06827452458255,0.0386142158958744,0.253814555993068
"YPL116W","YPL116W",154.534240678646,0.230746283736956,0.185634081730729,1.24301680804317,0.213861639775141,0.55866300182847
"YPL117C","YPL117C",1650.95474692361,-0.0467319022793824,0.164013882510217,-0.284926504782126,0.775700449381055,0.920129305866163
"YPL118W","YPL118W",720.161820112585,0.03109036061249,0.0912840433249373,0.340589214500719,0.733412850085119,0.905144519946734
"YPL119C","YPL119C",326.896037376802,-0.870843947368813,0.394506333272994,-2.20742703962169,0.0272842390319372,0.212937325557791
"YPL119C-A","YPL119C-A",71.3585871813894,-1.04236996396644,0.467917351577846,-2.22767965421994,0.0259018847112336,0.206536928745071
"YPL120W","YPL120W",200.267221117288,-0.231586055376922,0.216937864034687,-1.06752252036506,0.285735949782736,0.632396794191222
"YPL122C","YPL122C",172.143997663534,-0.0268250049323361,0.162860260117883,-0.1647117898063,0.869170836810502,0.954781456151457
"YPL123C","YPL123C",471.39975223134,-0.0557129752044378,0.245144941033198,-0.227265449450548,0.820217337544517,0.937139589374196
"YPL124W","YPL124W",51.8354889843941,0.51298830645557,0.306992865118501,1.6710105176469,0.0947196003761665,0.390429335724675
"YPL125W","YPL125W",260.134078980178,0.0378859787953847,0.184422851092714,0.205429959307692,0.837236215243434,0.942842716066471
"YPL126W","YPL126W",362.334188149633,0.190879210409335,0.298320023269015,0.639847128991426,0.522271989439611,0.803691768648788
"YPL127C","YPL127C",435.077859875286,-0.50056626011312,0.272097696100583,-1.83965637080618,0.0658187027173845,0.325907144302904
"YPL128C","YPL128C",113.570015735706,0.478905366843275,0.236761638788239,2.02273210007475,0.0431007754868509,0.267666183731779
"YPL129W","YPL129W",595.788724355794,0.155080802195349,0.125438083859733,1.23631354548403,0.216342038030379,0.563801656538446
"YPL131W","YPL131W",3150.04103304992,0.160833838356301,0.505679246629935,0.318055050564497,0.750443178952695,0.911132798864559
"YPL132W","YPL132W",415.276229975834,0.186521034630665,0.207707258033471,0.897999599997648,0.369185762717071,0.700772707388585
"YPL133C","YPL133C",402.359020649589,-0.422934069134823,0.197644887477939,-2.13986850118767,0.0323653953304133,0.232129531572306
"YPL134C","YPL134C",1211.88113514186,0.0273830464628082,0.331289964624427,0.0826558283884375,0.934125208469467,0.977604992831179
"YPL135W","YPL135W",1855.1242149181,0.0279629898652661,0.275358678055605,0.101551147988949,0.919112957152489,0.97321503846348
"YPL137C","YPL137C",257.033769374831,0.0966019726509488,0.244054749359283,0.395820908646761,0.692237151067034,0.88821006113453
"YPL138C","YPL138C",404.253821435272,-0.0810625821459311,0.158547343018608,-0.511283132233993,0.609152814508535,0.848766926018741
"YPL139C","YPL139C",389.102265777072,0.0260992718057683,0.155930110980195,0.167378010838991,0.867072625906436,0.954231665398348
"YPL140C","YPL140C",412.12228205647,0.0116261247928006,0.142541597996569,0.0815630311165755,0.934994200201656,0.977974439532141
"YPL141C","YPL141C",197.227470955898,0.13731053303266,0.270884907420624,0.506896210424333,0.61222764478598,0.850007800871689
"YPL144W","YPL144W",79.1498777610952,0.62825492043421,0.26646577692253,2.35773211738506,0.0183869561324775,0.179601603111538
"YPL145C","YPL145C",736.709201841512,0.362938705654097,0.212650570246328,1.70673751419373,0.0878708511693094,0.375189331367978
"YPL146C","YPL146C",506.352929960693,0.240115541807202,0.208856147041912,1.1496694983989,0.250280021677063,0.594569474661137
"YPL147W","YPL147W",308.868379636885,0.343436195338665,0.311264859307307,1.10335678785891,0.269872254465714,0.616571045888199
"YPL148C","YPL148C",182.877340920465,0.48009046412378,0.225466749825276,2.12931824535468,0.0332279392726765,0.233875160147808
"YPL149W","YPL149W",329.113721938017,0.236245821239814,0.255611804868121,0.924236740011681,0.355363070852001,0.688136418129677
"YPL150W","YPL150W",544.236681301121,-0.16594886241322,0.143471405515643,-1.15666854880798,0.247407804100952,0.594569474661137
"YPL151C","YPL151C",380.686527640251,0.550291087684206,0.268079651901322,2.0527148695596,0.040100239063637,0.258190857425645
"YPL152W","YPL152W",338.685327489003,0.0541773704949846,0.170628632576112,0.317516290654313,0.750851880348699,0.911191693518154
"YPL153C","YPL153C",44.0839628264341,0.394482015582039,0.416101592718302,0.948042551351396,0.343107792449223,0.67976710950235
"YPL154C","YPL154C",6658.24995070954,-0.244832280443473,0.18347877398677,-1.3343902137755,0.182076005585879,0.522615323024109
"YPL155C","YPL155C",106.644742099251,0.386283164370793,0.238432860009729,1.62009198042179,0.105212519868367,0.412159514345289
"YPL156C","YPL156C",1023.19673637742,0.512194823108521,0.213660233445763,2.39723983657698,0.0165191071945565,0.168461198201308
"YPL157W","YPL157W",149.565448241587,0.229224277955354,0.212043729171722,1.0810236117368,0.279686610650599,0.625433565996382
"YPL158C","YPL158C",211.441555721449,0.404410777043676,0.391984926622526,1.03169981695014,0.30221276320636,0.646479867518842
"YPL159C","YPL159C",1749.33121539801,-0.219446171656407,0.206710145041806,-1.06161297314181,0.288411421784726,0.634370774779603
"YPL160W","YPL160W",362.835181839958,0.0625528104841472,0.380844834276176,0.164247496235661,0.86953631218776,0.954989871071108
"YPL161C","YPL161C",86.5321124755261,0.703831747918189,0.204324114429141,3.44468272814796,0.000571730048082942,0.0339033646224507
"YPL162C","YPL162C",230.831016364597,0.0261287665335879,0.214778524210855,0.121654465359565,0.903172676668734,0.968879845421203
"YPL163C","YPL163C",298.804195908006,-0.526442983592676,0.64255809008224,-0.819292437085801,0.412619586489247,0.735709643371972
"YPL164C","YPL164C",366.72428343201,-0.241553197416833,0.200593697211591,-1.20419136181551,0.228515623944539,0.57898888336854
"YPL165C","YPL165C",468.959897625007,-0.252321083448251,0.122492672435302,-2.05988716248738,0.0394093292428093,0.256954268687868
"YPL166W","YPL166W",193.904577680799,-0.217584284355104,0.318219365866962,-0.683755634300614,0.494129486060121,0.786924185023027
"YPL167C","YPL167C",241.131470855042,-0.332208609983295,0.174903421940656,-1.89938313554558,0.0575141192126345,0.305324427982901
