"","Holly_59A","Holly_59B","Holly_59C","Holly_Anc_A","Holly_Anc_B","Holly_Anc_C"
"YNL218W",229.287950378476,248.04465706448,246.179403019016,212.200569903136,212.993288370555,227.785522311411
"YNL219C",986.569254380784,845.054101273598,954.911137271072,789.120869327288,809.206784557422,915.814612780237
"YNL220W",3718.04084673355,3363.19373255075,3173.8375949761,3015.01643070706,2452.77704127509,2421.53532180285
"YNL221C",559.546741290594,758.724833373705,842.308899118876,564.394571339592,704.387252879,628.454415402765
"YNL222W",185.113207645008,178.738061708229,205.333493101063,197.464419215418,159.325688151202,163.538323710757
"YNL223W",499.595304723745,485.146167493763,508.917958707473,559.23691859889,504.810864563283,494.119363783215
"YNL224C",322.896333789873,404.896425502314,412.874873224718,339.668273351895,323.682713822969,349.27113421083
"YNL225C",320.792774612089,296.680864332026,322.351505298443,411.875411721712,336.26105762438,330.581040072458
"YNL227C",167.232954633843,172.658535799785,108.186464107012,210.726954834364,145.070231842937,137.839444270495
"YNL229C",1036.00289505871,1243.87100086747,1342.39530973598,1268.04576667812,1173.97875479833,1189.15723955393
"YNL230C",128.317109844835,141.045001075881,150.136317536261,135.572586327004,185.320932007451,177.555894314536
"YNL231C",1249.51415160381,1336.2797946758,2160.41745160634,1234.88942763075,1133.72805463382,1093.37050709477
"YNL232W",489.077508834824,531.350564397931,470.279935812112,538.606307636085,577.765258611465,426.367772531615
"YNL233W",636.326651279717,638.350220386531,641.391180062997,645.443400122039,611.307508748561,707.887315490846
"YNL234W",98.8672813558568,91.1928886266472,216.372928214023,85.4696739887632,93.9183003838666,87.6098162736196
"YNL236W",225.080832022908,210.351596432133,345.534319035659,199.674841818576,258.275326055633,266.333841471804
"YNL237W",905.582226036093,949.62194689882,747.369757147417,816.382748099566,783.211540701173,863.248723016065
"YNL238W",381.79599076783,468.123494950122,616.000479303188,445.768558303463,612.146065001988,516.313850572531
"YNL239W",5039.07601038202,6838.25074181685,3668.40428803673,4136.43749804239,5452.29275978483,6545.03734108121
"YNL240C",278.721591056405,706.440910561094,833.477351028508,323.458507595406,641.495533871946,563.039085918462
"YNL241C",2145.63036133987,3088.39916148912,3618.72683002841,2161.7933058882,3365.96480125751,3329.17301839754
"YNL242W",578.478773890651,607.952590844315,671.19765486799,445.031750769077,564.348358556627,616.773106566282
"YNL243W",831.957654813646,954.485567625574,1605.13386542444,752.280492607993,1204.16677992172,1289.61649554768
"YNL244C",1088.59187450332,905.849360358029,859.971995299612,1592.24108180791,949.245678879795,900.628911292809
"YNL245C",202.993460656174,245.612846701103,250.5951770642,245.356908950501,241.504200987086,216.104213474928
"YNL246W",593.203688135141,654.156987748483,570.738795340051,771.437488502027,760.570521858634,677.515912515992
"YNL247W",1272.65330255943,1522.31328747416,1478.18036162539,1142.05167829813,1346.72134300437,1398.25266772697
"YNL248C",282.928709411973,254.124182972924,315.727844230666,315.353624717161,248.212651014505,281.519542959231
"YNL249C",252.427101334102,231.02198452084,216.372928214023,256.40902196629,212.154732117127,221.94486789317
"YNL250W",270.307354345268,251.692372609546,301.376578583818,305.775126770144,250.728319774787,240.634962031542
"YNL251C",515.371998557126,665.10013438368,895.298187661086,518.712504207666,836.879140920526,758.116943487722
"YNL252C",558.494961701702,505.81655558247,1311.48489141969,540.816730239243,567.702583570337,533.835813827255
"YNL253W",397.572684601211,368.419270051655,340.014601479179,459.031093922409,405.022670405425,381.978798952981
"YNL254C",213.511256545095,314.919442057355,475.799653368592,276.302825394709,337.938170131234,329.41290918881
"YNL255C",3466.66552498834,3087.18325630743,2375.68643630907,3709.08912809857,2902.24319311216,2606.10000141927
"YNL256W",295.550064478678,355.04431305308,411.770929713422,306.51193430453,320.328488809259,344.598610676237
"YNL257C",491.181068012608,509.464271127536,536.516546489874,475.240859678899,437.726364289093,420.527118113374
"YNL258C",726.779695924437,609.168496026003,635.871462506517,664.600396016073,560.15557728949,579.392918289538
"YNL259C",482.766831301471,310.055821330601,356.57375414862,417.7698719968,248.212651014505,343.430479792589
"YNL260C",112.540416011454,96.0565093534017,109.290407618308,130.414933586302,109.012312945559,94.6186015755092
"YNL261W",181.957868878332,195.760734251869,199.813775544583,190.09634387156,191.190825781443,209.095428173039
"YNL262W",930.824936169503,1200.09841432668,1135.95787312362,896.694769347628,1038.97119799652,1164.62649099732
"YNL263C",1110.67924587005,1128.36000860705,830.165520494619,934.271953601308,1064.12788559935,1062.99910411992
"YNL264C",233.495068734045,303.976295422157,411.770929713422,267.461134982078,309.427257514703,292.032720912065
"YNL265C",434.384970212435,333.158019782685,260.530668665865,400.823298705924,338.776726384662,407.677678393243
"YNL266W",16.8284734222735,20.6703880887067,14.3512656468485,27.9986863066638,17.609681321975,21.0263559056687
"YNL267W",1129.61127847011,1236.57556977734,1005.69253879069,1145.73571597006,1220.09934873684,1198.50228662312
"YNL268W",1328.39762077071,1594.05169319379,1866.7684776016,1240.78388790584,1626.79913164912,1617.86127385284
"YNL270C",175.64719134498,116.726897442108,66.2366106777622,191.569958940331,145.070231842937,175.219632547239
"YNL271C",744.659948935602,969.076429805838,1102.83956778474,907.746882363416,1135.40516714067,1026.78704672682
"YNL272C",520.630896501586,522.839228126111,515.541619775249,495.134663107318,455.336045611068,470.756746110249
"YNL273W",217.718374900663,199.408449796935,300.272635072522,197.464419215418,230.60296969253,281.519542959231
"YNL274C",2123.54298997314,1912.61885079621,2342.56813097019,1956.22400379454,1797.8646073483,2009.18511987501
"YNL275W",69.4174528668782,86.3292678998927,130.265334332932,97.9954020733233,142.554563082655,146.016360456033
"YNL276C",8.41423671113675,13.3749569985749,20.9749267146247,13.262535618946,17.609681321975,22.194486789317
"YNL277W",310.274978723168,446.237201679727,515.541619775249,421.453909668729,576.08814610461,508.136934386994
"YNL278W",349.190823512175,295.464959150337,386.380228953613,230.620758262784,432.695026768528,399.500762207705
"YNL279W",76.7799099891228,161.715389164588,110.394351129604,93.574556867008,117.397875479833,93.4504706918609
"YNL280C",537.45936992386,617.679832297824,503.398241150993,629.970441899936,572.733921090901,513.977588805235
"YNL281W",371.278194878909,459.612158678302,545.348094580242,422.190717203115,550.092902248362,485.942447597677
"YNL282W",73.6245712224466,72.9543109013178,76.1721022794265,53.0501424757841,87.2098503564476,96.9548633428057
"YNL283C",871.925279191546,1063.91703397755,696.588355627799,737.544341920276,1342.52856173724,1080.52106737464
"YNL284C",630.015973746364,750.213497101884,2167.04111267412,667.547626153616,721.996934200975,663.498341912212
"YNL285W",18.9320326000577,18.2385777253294,9.93549160166433,18.4201883596472,25.1566876028214,17.5219632547239
"YNL286W",432.28141103465,335.589830146062,271.570103778825,516.502081604509,344.646620158653,304.882160632196
"YNL287W",2142.4750225732,1711.99449581759,1912.03016156474,1509.71863795669,1680.46673186847,1926.24782713598
"YNL288W",486.973949657039,584.850392392231,582.882173964307,488.503395297845,647.365427645938,557.198431500221
"YNL289W",759.384863180092,714.952246832914,522.165280843025,622.602366556077,1022.20007292798,1274.43079406025
"YNL290W",638.430210457501,716.168152014603,592.817665565972,664.600396016073,841.071922187663,705.55105372355
"YNL291C",254.530660511887,297.896769513714,298.06474804993,268.197942516464,299.364582473575,301.377767981251
"YNL292W",322.896333789873,240.749225974349,334.494883922699,277.039632929095,270.853669857044,283.855804726527
"YNL293W",506.957761845989,586.066297573919,672.301598379286,562.92095627082,608.791839988278,640.135724239247
"YNL294C",897.167989324956,766.020264463837,823.541859426843,812.698710427636,848.618928468509,698.54226842166
"YNL295W",311.32675831206,344.101166417882,533.204715955986,287.354938410497,355.547851453209,348.103003327182
"YNL297C",570.064537179515,655.372892930171,935.040154067743,573.973069286608,723.674046707829,754.612550836777
