"","chr","tracking_id","ratio","l2All[, 3]","l3All[, 3]","l4All[, 3]","l5All[, 3]","l7All[, 3]","l8All[, 3]","l9All[, 3]","l11All[, 3]","l18All[, 3]","l49All[, 3]","l59All[, 3]","l61All[, 3]","l69All[, 3]","l76All[, 3]","l77All[, 3]"
"458","1","YAL016W",-1.04612225978127,0.198411195353787,-0.424744829142673,0,0.221121911113277,-0.956886465242251,0.127404266218123,0.339698929546899,-0.227665146369294,-0.145375227193742,-0.25313132708654,-1.44645247650915,0.211639279135623,0.252324565774877,-0.0199125308368643,-0.264230105853208
"447","1","YAL007C",-0.726907903628744,0.112608309781794,-0.410952318403376,0.0425003503219764,-0.600360886252739,-1.16081757154908,0.075749741434552,0.238851855809667,-0.211000013659482,-0.0801469054974367,-0.266654583252115,-0.774583886047598,0.201576242670208,0.35252553609822,-0.0148021722097906,-0.204878552364628
"481","1","YAL034W-A",-1.11785015500257,0.21402596751865,-0.336032728253531,0.104017177502933,-0.256008523514486,-0.972942576974061,0.185386129252025,0.562139904406818,-0.265875287466964,-0.135330273059352,-0.190987788874894,-0.766787886364387,0.210465293358912,0.347131592441476,-0.0461076355281326,-0.243222833090417
"485","1","YAL037C-B",-1.48330958467197,0.163011281451964,-0.364530107316695,0.0275028183515011,-0.549100900880977,-0.260542020370238,0.238605891009858,0.149246566662576,-0.232787771241439,-0.191222118866819,-0.362161004495563,-0.798111233018054,0.261462816618445,0.205146776226356,0.410827899763052,-0.126917991252191
"463","1","YAL020C",-0.673706323818058,0.182099104715225,-0.225018314791615,0.0544312604343427,-0.344036014671737,-0.269527518463873,0.250929321173927,0.427126799178622,-0.151390119606705,-0.0846101378590696,-0.118003546441245,-0.669302577834062,0.366826489501551,0.391599857836621,-0.0362626256637166,-0.235722138342862
"508","1","YAL058W",-2.52248467276847,0.108978633719927,-0.369318026754201,0.030502813428375,-0.405482728997193,-0.639493331354494,0.263806489863619,0.367479190194958,-0.206390797832975,-0.241213176316049,-0.235926441161494,-0.493770168015043,0.427013764885581,0.145061866306699,-0.0116511131731581,-0.31847494121983
"482","1","YAL035W",-0.285644177459036,0.0925358914417448,-0.451811548692162,0.0519646631254508,-0.351731934839867,-0.869546831262702,0.182058115929565,0.260750697081313,-0.0794199993137387,-0.211317235994789,-0.187584732017746,-0.559167730275628,0.507492217636946,0.342790861419983,-0.0387908591062953,-0.19691676509303
"473","1","YAL029C",-1.81719131413515,0.0896988176727743,-0.331494759273464,0.0189038983577678,0.207300526711593,-0.969494379897897,0.332498203992024,0.18766368102662,-0.0659186819969698,-0.107422649303244,0.0261963569648997,-0.320575373526953,0.469889358983009,0.285930613136119,-0.0682766567349068,-0.412429450558866
"550","1","YAR050W",-1.02585421179161,0.0595194730802324,-0.594906891225774,0.0901612425195867,-0.265947799213875,-0.782044570007258,0.122170556209,0.163249645283857,-0.264924882049339,-0.236584858353143,0.387965779541688,-0.589715955308418,0.324401930808291,0.228371773555268,0.00134199522751476,-0.40819365174333
"475","1","YAL031C",-1.41360549765258,0.0868100446871773,-0.626221222997573,0.0485927782919121,-0.323008984627938,-1.85568243007638,0.268569118723838,0.156280008534526,-0.164496015367336,-0.102696619388709,-0.198568555260573,-0.739805762284044,0.66288591444748,0.149362707742485,-0.041894724835299,-0.244325544302534
"461","1","YAL019W",-0.693775890702361,0.0486926675790143,-0.437937775360693,0.0811259883462415,-0.165540231163958,-1.70552174402887,0.261385199858673,0.165770179084081,-0.282927686621153,-0.209956294919171,-0.127876377481242,-0.515865586183793,0.220934736177473,0.139312485135924,-0.0283860035857254,-0.547968415816727
"557","1","YAR068W",-0.872721566080074,0.142937713531128,-0.783452179884443,0.0159240424226971,-0.30990210654794,-0.866335018577738,0.235835892381775,0.139655503181349,-0.31656724613755,-0.178294947750691,-0.178860841398229,-1.29127803706617,0.61170827330525,0.139163008416261,0.0168497333394164,-0.161907858012987
"462","1","YAL019W-A",-0.521704693922471,0.150390609743007,-0.325345745087582,0.100043599835926,-0.374071307074103,-1.74288020124089,0.152981973031438,0.0920837117023207,-0.191206527159242,-0.160108548810711,-0.0807983796567602,-1.3302781483364,0.436178390831791,0.122523828900164,-0.0601263306817916,0.493519637782793
"455","1","YAL015C",-0.704663992895105,0.220903141782358,-0.699451402973282,0.00932729120202273,-0.279861864700742,-0.730376125062879,0.106961336858936,0.284461825580353,-0.43117320362657,-0.185773312028455,-0.194781945081639,-0.608161613247198,0.339023662828633,0.114388308919549,-0.0553234132895563,-0.320194406036177
