"","112B","112C","115B","115C","117B","117C","123B","123C","141B","141C","152B","152C","29B","29C","50B","50C","112A","115A","117A","123A","141A","152A","29A","50A","AncB","AncA","AncC"
"YDL044C",33.9223673506532,12.8712563089351,22.6813340713463,12.2018012287932,18.8700556747514,21.9759260622806,41.0658717824358,21.1384742102613,20.1694991245101,16.1568115501814,22.0663244082475,20.4164579335898,37.8807619584781,16.0456811726678,32.1248181025021,22.4471031155578,18.1474144051617,30.9732273432576,36.9437161633014,28.2714982657203,31.3797248243287,29.0162835084341,11.9401463849637,31.6038461517504,15.8709331013346,18.8810667871393,19.9918370172853
"YDL045C",62.7789945102754,28.2736801765312,54.0944493344785,23.7410612143939,41.5141224844531,37.5455858554831,76.2314746306137,38.27597538388,53.0968139603067,38.6813076524932,45.7709838073625,47.6384018450429,65.9552306333418,32.1795254287018,97.6743024388215,40.6764384482561,42.9302270289509,69.7282854369356,65.2048077905274,65.209557011706,83.0196849286509,48.3007682270024,50.0993770997963,77.7381962813171,47.091219342927,43.9413917955242,48.1908492311403
"YDL045W-A",69.7443872729429,21.2187237896253,46.5340046440298,21.8638610253488,33.1573835427775,31.6258714549425,61.0481159064563,31.4076383376437,46.2926455809539,27.0864193635395,35.9921718306218,26.0246824894216,47.4498062110373,40.2023660150357,71.4916472223313,38.6747859411363,31.5780999561184,55.1662457158518,69.2056249787191,57.2161274425291,46.1940368786714,45.0170324390109,16.7408237974749,70.745391241993,26.6005780149129,29.7977563113399,29.2512141621332
"YDL046W",262.513893470921,97.6922968385286,257.694030294169,88.4492559661839,261.664772023219,129.666072965264,180.705569893209,151.370146552975,165.487095226402,128.114011586145,206.942188533959,127.602862084936,194.623288475605,151.199687973215,196.555606713864,155.199556891325,158.210278007996,286.309733352102,400.422213899009,266.475699427191,310.715310983755,187.829687073114,125.617725627376,194.981200252322,156.324965476995,239.82387740901,149.307456460673
"YDL047W",67.7542750550379,53.6392103920477,72.1969225369615,33.6791798622798,54.3637318248791,63.0895589537059,116.038622373741,60.1479613175258,99.0249505209381,61.585964026574,66.4037650986009,67.2356809109269,72.914535544294,66.6512910249276,128.592118705102,80.9954389488122,96.1733018916721,102.242469364435,94.4873846572917,111.40316578516,111.702714650889,68.6599301125497,81.4884217200618,88.6360742646793,80.0252683137715,79.0945052319436,66.7096035208361
"YDL048C",279.339387676845,345.154316669311,236.18403272416,219.798057429075,222.486942146117,455.655824885441,1262.5002114263,518.792837084646,404.483509551169,174.588604809902,219.792878618576,244.367357612535,101.305336260565,304.603453030588,397.846374477519,518.64246211265,336.246806115023,1043.76694233609,895.246688685349,1149.79173750318,302.607714670326,527.905306134926,445.785980754084,602.65265247993,389.098650963235,308.688277363558,72.6019344311938
"YDL049C",37.3598339088527,2.36960367193785,18.2089583389682,3.58876506729211,17.2526223312013,4.70333472919658,14.239315694676,4.9345334118591,5.58913831161123,7.98336570714848,6.09255824728875,7.12055477313471,17.4773452877321,2.11591400079135,13.7412516739026,4.50371814101956,13.1908518804039,12.3276526739334,15.2371548231128,10.6018118496451,18.6842446359145,7.82126160412523,1.78486724311314,5.63057029140381,5.51384530281107,9.88681315399295,7.04975305346375
"YDL050C",4.79436125222565,2.69273144538392,3.93995004995218,3.36791798622798,2.87543705520021,4.21678286065901,4.169523380209,4.40107034030676,5.71064131838539,7.03296502772604,5.83656840496569,10.3972702439578,4.665897610752,6.17141583564144,2.22831108225448,4.1462801933196,7.99445568509327,3.23600882690751,2.72396063876877,1.93525136937966,4.48281783204696,5.01516011256885,0.923207194713691,1.45305039778163,4.61970822667955,4.32548075487192,10.2063588982983
"YDL051W",22.3435326282969,21.5418515630714,27.0472246672393,27.4402498222181,21.9252075459016,27.0036287038356,29.894695933574,24.8727157111276,37.4229260864404,57.4992411050575,48.4332781675223,74.7343182383874,32.5031172545605,43.6407262663216,14.669714624842,36.6731334340164,85.7805095010508,26.4274054197446,27.8354727774184,28.8604878129228,35.2496574059005,53.1965197654625,9.66290197133663,14.6213196276776,26.5260665919019,46.1384613853004,61.553813974273
"YDL052C",45.2298231342042,34.9516541610833,33.4363328563509,32.9062150785553,22.9136390336267,55.629096969463,63.0935424703325,62.6152280234553,66.9481567325606,70.6147704810871,75.9777852014832,85.1946022413994,52.0366208114376,47.8725542679043,59.9787066306832,58.7627986018743,98.0919712560945,63.6415069291809,57.6287922639518,58.6465306285924,53.7237699559378,67.7046615196795,33.2354590096929,59.4842506591854,62.5150839061958,88.08875886509,82.0717519656974
"YDL053C",107.375600120601,41.6834827745431,86.0399902800367,36.5501919161134,67.66262820518,53.8450734514919,126.580436202949,63.8155199344481,56.0128861228864,51.5117168246961,61.9495418421797,56.9014244260234,112.218791689103,48.9305112683,200.269458517622,68.0561852420734,51.8040728394044,130.287879197633,149.307092512513,141.357491328601,115.08233903208,76.0035574202398,50.5917542703103,129.412301052426,50.891301916486,60.1447800201238,54.8197215052927
"YDL054C",104.933189671354,37.1596939462981,86.0399902800367,33.0718503893534,83.0282449689062,58.6295001587781,97.5511130463993,62.2151307197911,68.7707018341729,62.6314047739386,45.5661919335041,66.4795158022754,100.593589167399,46.8145972675087,235.643896948412,69.0570114956333,47.2472330989012,121.581474496668,136.623650788246,121.836694907033,173.849279049071,60.2416256378806,71.7024254560967,136.40510609175,54.0207816829463,61.3119732396924,64.1843188449685
