"","112B","112C","115B","115C","117B","117C","123B","123C","141B","141C","152B","152C","29B","29C","50B","50C","112A","115A","117A","123A","141A","152A","29A","50A","AncB","AncA","AncC"
"YHR074W",6.21179655711516,5.84810800606709,6.53743390210012,5.49991852156288,6.39934102476814,6.22966321045989,6.44626409299142,6.4012387793699,6.33904540444987,6.53889540369754,7.16841063073724,7.2246334416722,6.55798746312202,6.11357251601796,6.69299352966249,6.40508408299501,6.78603854829717,6.44328895070945,6.30274987307118,6.34693092089551,7.01789713511981,6.785389065603,5.85366157175344,6.53255046483575,6.62913807902242,6.75716800223017,6.67973771044758
"YHR075C",6.2362385302429,4.51866462200791,5.64006795321301,3.85240965776261,5.48197602076849,4.51227023908837,5.20056896531049,4.88301830433235,5.35686046972316,4.34854507838421,5.36087725423674,5.03566762687808,5.13855969265864,4.34421417329223,5.41762079764657,5.00592841387884,4.25252501111704,5.2040898910422,5.11599927340722,5.00790591984412,4.70640508262287,5.27286349164017,4.53069627500954,4.91139532031629,5.04298957056289,4.97633603816279,4.59271203110578
"YHR076W",5.71176946306309,4.34221198950329,5.87807870064612,4.40838305965651,5.6996465655005,4.86119946954814,6.1952657262828,5.05203467218407,5.00497920296833,5.20219613795239,5.92005114899778,6.110549429655,5.85605448519777,4.77886870622896,5.78132940137855,5.10814208230717,5.46477391175869,5.93569107195556,6.08305074197057,5.88511246438075,5.95105627957229,6.08317512279324,4.09962738670724,5.62488275627014,5.05273855324433,5.2635564708869,5.50744462633834
"YHR077C",6.02602057993348,5.20649709326586,6.66099012493571,5.18878098864145,6.37611810814351,5.78597897620065,6.55648240445591,5.74362788965303,5.9456980960597,6.00631874003602,7.20090443843845,6.89715390667134,6.7290653251185,6.1834908262773,6.87175756258819,6.35808150137359,6.510497241053,6.4070722016862,5.99336679550701,6.1895162041257,6.67193597606767,7.13583678075993,5.37988809983664,6.55222951996239,6.26965332412505,6.26935575516388,6.05827796537506
"YHR078W",6.2047363974625,5.31000724567513,6.09811168319322,5.01492319162825,5.86224259629438,5.76891599674497,6.27803503840403,5.99056068634521,6.0604578975879,5.57149091598262,6.53054161856632,6.61222256890846,6.53970871939371,5.6746940553246,7.21427110060944,6.00677330981481,5.67802553427587,6.64000954000512,6.51770106367248,6.43654996827585,6.25449588735174,6.7450051177542,6.05137457157046,6.76835126936663,6.02254087970473,5.95973237192095,5.64727567232018
"YHR079C",4.30407605009603,4.24721886502661,4.80938513952984,4.08609194963497,4.7301929502042,4.71295605674529,5.06134532152837,4.81970391545827,5.09491941586761,5.14133895155121,5.78457862275363,5.57507751249572,5.5155048904743,4.79728337087205,5.31368313163702,5.11112919420367,5.23295926481372,5.03470727160421,4.51929871006606,4.89820265542733,5.43349304458713,5.45472815721852,3.78228842023178,4.61254415349308,5.24924297819981,4.8651770676747,5.1279197996569
"YHR079C-A",-0.400646848683334,-2.3554583513404,-1.5010472832975,-2.79320699399702,-0.803428569875159,-3.12112977727091,-1.52067657765614,-1.73421285906075,-1.32788992806999,-2.15893460741319,-1.17323745099918,-0.734646554629608,-2.38076577619136,-3.03499348210299,-4.88506506524608,-1.11164225493696,-0.752793579378729,-1.25470048117482,-1.12198799532133,-1.80457419097976,-1.84168610012549,-0.304011311012128,-4.88506506524608,-2.21442279109778,-1.95805225857496,-0.958896150946351,-1.13694267199578
"YHR080C",6.12470497324104,4.94666944110299,6.15957597152356,4.53746899287548,6.346155388943,5.2565638771913,5.97298434883056,5.43888208925448,6.03662334807623,5.87697361205506,6.64197763426148,6.59727742589495,6.16832699298761,4.41150374084966,6.14343152707444,5.42379302191498,5.81748896318942,6.31094172699191,6.30740925543019,5.95134859351006,6.8741212934474,5.94320057117168,4.93942962388893,5.77837918307356,6.02914018515878,5.52895568545985,5.79128429590283
"YHR081W",7.04652790084317,4.47041272595233,6.65337949354717,4.65278448046076,6.42068358401221,5.03540389844401,5.90831431392306,5.03159159328045,5.71153988882653,5.0155806328142,5.56032265951394,6.01678528487364,6.04760891697633,5.59008942566556,5.97051056842137,5.24497309078282,5.68700839449351,6.07246153691296,6.07942313263096,5.74048518549104,5.65722664704958,6.3150526370862,4.84989440361264,5.87307324952683,5.24641390930392,5.29669444886824,5.22851966643661
"YHR082C",6.30882111395352,6.04687225886861,6.90227430771271,5.63428017294888,6.54111380838028,6.52851672082999,6.98070612375324,6.56565094441877,6.63903386958887,6.75994824021692,7.09683111233555,7.37951857113052,7.53514695290137,6.18173973573573,8.19777599968754,6.49815748042894,6.5218380200371,6.99053232297021,6.68099908807835,6.82706361722393,7.50187891094161,6.76731650988711,7.29046333066736,6.89484606785998,6.69182973868308,6.51006889357686,6.53337033163181
